region,year,rainfall
ANDAMAN & NICOBAR ISLANDS,1951,3275.1
ASSAM & MEGHALAYA,1951,2956.7
"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1951,2609.4
SUB-HIMALAYAN W BENGAL & SIKKIM,1951,2683.2
GANGETIC WEST BENGAL,1951,1214
ORISSA,1951,1396.3
JHARKHAND,1951,1071.6
BIHAR ,1951,849.4
EAST UTTAR PRADESH,1951,752.6
WEST UTTAR PRADESH,1951,724.9
UTTARANCHAL,1951,1171.4
"HARYANA, DELHI & CHANDIGARH",1951,333.4
PUNJAB ,1951,499.5
HIMACHAL PRADESH,1951,1238.5
WEST RAJASTHAN ,1951,179.9
EAST  RAJASTHAN ,1951,365.6
EAST MADHYA PRADESH,1951,1175.4
"GUJARAT REGION, DADRA & NAGAR HAVELI",1951,481.1
SAURASHTRA KUTCH & DIU,1951,292.9
KOKAN & GOA,1951,2808.3
MADHYA MAHARASHTRA,1951,796.7
MARATWADA ,1951,731.4
VIDARBHA,1951,1082.2
CHATTISGARH,1951,1399.9
COSTAL ANDHRA PRADESH,1951,875.7
TELENGANA,1951,836.5
RAYALSEEMA,1951,506
TAMIL NADU & PONDICHERRY,1951,855
COASTAL KARNATAKA,1951,3124.3
NORTH INTERIOR KARNATAKA,1951,708.4
SOUTH INTERIOR KARNATAKA,1951,925.9
KERALA,1951,2705.6
LAKSHADWEEP ,1951,1715.3
ANDAMAN & NICOBAR ISLANDS,1952,3079.9
ASSAM & MEGHALAYA,1952,3114
"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1952,2810.9
SUB-HIMALAYAN W BENGAL & SIKKIM,1952,3270.9
GANGETIC WEST BENGAL,1952,1395.7
ORISSA,1952,1516.9
JHARKHAND,1952,1387.3
BIHAR ,1952,1206.5
EAST UTTAR PRADESH,1952,936
WEST UTTAR PRADESH,1952,875.3
UTTARANCHAL,1952,1474.6
"HARYANA, DELHI & CHANDIGARH",1952,541.4
PUNJAB ,1952,566
HIMACHAL PRADESH,1952,1263.6
WEST RAJASTHAN ,1952,267.2
EAST  RAJASTHAN ,1952,701.7
EAST MADHYA PRADESH,1952,1155.4
"GUJARAT REGION, DADRA & NAGAR HAVELI",1952,770.9
SAURASHTRA KUTCH & DIU,1952,412.5
KOKAN & GOA,1952,2509
MADHYA MAHARASHTRA,1952,683.4
MARATWADA ,1952,546
VIDARBHA,1952,807.8
CHATTISGARH,1952,1374
COSTAL ANDHRA PRADESH,1952,850.6
TELENGANA,1952,711.1
RAYALSEEMA,1952,608
TAMIL NADU & PONDICHERRY,1952,716.2
COASTAL KARNATAKA,1952,2896.6
NORTH INTERIOR KARNATAKA,1952,628.6
SOUTH INTERIOR KARNATAKA,1952,872.6
KERALA,1952,2334.8
LAKSHADWEEP ,1952,1124.5
ANDAMAN & NICOBAR ISLANDS,1953,2722
ASSAM & MEGHALAYA,1953,2763.8
"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1953,2661.7
SUB-HIMALAYAN W BENGAL & SIKKIM,1953,2594
GANGETIC WEST BENGAL,1953,1505.8
ORISSA,1953,1437.8
JHARKHAND,1953,1509.4
BIHAR ,1953,1376.7
EAST UTTAR PRADESH,1953,1266.8
WEST UTTAR PRADESH,1953,762.4
UTTARANCHAL,1953,1559.4
"HARYANA, DELHI & CHANDIGARH",1953,555.8
PUNJAB ,1953,611.6
HIMACHAL PRADESH,1953,1425.6
WEST RAJASTHAN ,1953,304.3
EAST  RAJASTHAN ,1953,580.7
EAST MADHYA PRADESH,1953,1007
"GUJARAT REGION, DADRA & NAGAR HAVELI",1953,1062.6
SAURASHTRA KUTCH & DIU,1953,715.1
KOKAN & GOA,1953,3335.9
MADHYA MAHARASHTRA,1953,893.7
MARATWADA ,1953,891.2
VIDARBHA,1953,1137.8
CHATTISGARH,1953,1380.9
COSTAL ANDHRA PRADESH,1953,933.2
TELENGANA,1953,1120.8
RAYALSEEMA,1953,748.5
TAMIL NADU & PONDICHERRY,1953,968
COASTAL KARNATAKA,1953,3463.3
NORTH INTERIOR KARNATAKA,1953,891.1
SOUTH INTERIOR KARNATAKA,1953,1255.8
KERALA,1953,2544.8
LAKSHADWEEP ,1953,1606.2
ANDAMAN & NICOBAR ISLANDS,1954,3449
ASSAM & MEGHALAYA,1954,3131.8
"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1954,2905
SUB-HIMALAYAN W BENGAL & SIKKIM,1954,3055.7
GANGETIC WEST BENGAL,1954,1080
ORISSA,1954,1208
JHARKHAND,1954,1059.5
BIHAR ,1954,1050.1
EAST UTTAR PRADESH,1954,969.7
WEST UTTAR PRADESH,1954,877.9
UTTARANCHAL,1954,1858.6
"HARYANA, DELHI & CHANDIGARH",1954,535.8
PUNJAB ,1954,633.2
HIMACHAL PRADESH,1954,1717.5
WEST RAJASTHAN ,1954,250.5
EAST  RAJASTHAN ,1954,655.1
EAST MADHYA PRADESH,1954,1076.5
"GUJARAT REGION, DADRA & NAGAR HAVELI",1954,1246.5
SAURASHTRA KUTCH & DIU,1954,617
KOKAN & GOA,1954,3802.7
MADHYA MAHARASHTRA,1954,985
MARATWADA ,1954,899.7
VIDARBHA,1954,1100.4
CHATTISGARH,1954,1193.4
COSTAL ANDHRA PRADESH,1954,1068.6
TELENGANA,1954,908.8
RAYALSEEMA,1954,662.7
TAMIL NADU & PONDICHERRY,1954,1016.3
COASTAL KARNATAKA,1954,3821.6
NORTH INTERIOR KARNATAKA,1954,683.3
SOUTH INTERIOR KARNATAKA,1954,1032.7
KERALA,1954,2937.9
LAKSHADWEEP ,1954,1555.5
ANDAMAN & NICOBAR ISLANDS,1955,3349.6
ASSAM & MEGHALAYA,1955,3021.7
"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1955,2865.3
SUB-HIMALAYAN W BENGAL & SIKKIM,1955,2992.8
GANGETIC WEST BENGAL,1955,1268.3
ORISSA,1955,1597.1
JHARKHAND,1955,1080.8
BIHAR ,1955,1242.5
EAST UTTAR PRADESH,1955,1424.3
WEST UTTAR PRADESH,1955,1059.5
UTTARANCHAL,1955,1662
"HARYANA, DELHI & CHANDIGARH",1955,705.8
PUNJAB ,1955,974.1
HIMACHAL PRADESH,1955,1919.2
WEST RAJASTHAN ,1955,391.3
EAST  RAJASTHAN ,1955,833.9
EAST MADHYA PRADESH,1955,1420.9
"GUJARAT REGION, DADRA & NAGAR HAVELI",1955,976.6
SAURASHTRA KUTCH & DIU,1955,383.1
KOKAN & GOA,1955,3884.7
MADHYA MAHARASHTRA,1955,981.1
